"hsap_ensembl_gid","hsap_gene_name","diff_1","diff_2","undiff_1","undiff_2"
"ENSG00000203496","RP11-291L22.4",0,0,0,0
"ENSG00000203497","PDCD4-AS1",40,31,10,11
"ENSG00000203498","RP11-556O15.1",1,4,2,5
"ENSG00000203499","FAM83H-AS1",6,1,0,5
"ENSG00000203504","AC131571.2",5,7,4,3
"ENSG00000203505","AC003079.1",0,0,0,1
"ENSG00000203506","RBMS3-AS2",2,1,2,0
"ENSG00000203507","AC103801.1",0,0,0,0
"ENSG00000203511","AL353662.1",1,3,0,0
"ENSG00000203512","AL353662.2",3,12,9,4
"ENSG00000203513","AL353662.3",0,0,0,0
"ENSG00000203518","AL023807.1",0,0,0,0
"ENSG00000203520","RP11-697H9.3",0,0,1,2
"ENSG00000203523","TAS2R2P",0,0,0,0
"ENSG00000203527","Z99756.1",0,0,0,0
"ENSG00000203531","AC016712.1",0,3,0,0
